iteration,loss,n_evals_per_iter,cumulative_evals,param_displacement_norm,gradient_spread,iteration_classification,spearman_correlation_vs_iter1
176,0.6620761309595821,211,37311,0.0099399797042786,44584.17781217921,plateau,0.735337050078881
177,0.6601863143989251,211,37523,0.0076569556919181,7912.834352027454,progress,0.8121304985859737
178,0.6528034233013833,211,37735,0.0035860911975668,13296.371692633858,progress,0.94309427165501
179,0.6588008883107326,211,37947,0.0055137108222525,24189.15328945379,plateau,0.7904779181905647
180,0.6601931624811568,211,38159,0.0062018941580716,45290.6665455229,plateau,0.6284101032417321
181,0.6630779682478533,211,38371,0.0052464690825318,15374.98253726697,plateau,0.915646937248334
182,0.6617332938832938,211,38583,0.0027538662955761,19291.72056030396,progress,0.8549899090682329
183,0.6567557073218782,211,38795,0.0060086308897761,65435.835956447634,progress,0.7899310965911116
184,0.6487136607714447,211,39007,0.0081019080357606,13159.042145202156,progress,0.9548613023294988
185,0.6388023169094564,211,39219,0.0038375394618988,41861.17276752799,progress,0.8838872277635061
186,0.6604256374461648,211,39431,0.0027199036093626,29680.618807931187,plateau,0.8622748167272987
187,0.6421930300930094,211,39643,0.0045304832461289,18483.858343263382,progress,0.8709177078845324
188,0.6453285051553009,211,39855,0.0037541445236281,17154.022015453615,plateau,0.9383102305526848
189,0.6422713574659515,211,40067,0.0022255111604904,49243.41770420668,progress,0.8896469955586941
190,0.6502745132285167,211,40279,0.0085973129693955,17238.69715463714,plateau,0.6336204578659057
191,0.6458105159610618,211,40491,0.0360461256184651,73376.82002317323,progress,0.3712821476353529
192,0.639802738550347,211,40703,0.0356124438071222,26537.340825733587,progress,0.7961158821223675
193,0.6480589840545947,211,40915,0.0051401306122857,26504.46270658133,plateau,0.9274709824971736
194,0.6255821569329614,211,41127,0.0035097912549641,26438.5280253432,progress,0.997681839238337
195,0.6403701697608868,211,41339,0.0050620217135225,12873.277709848742,plateau,0.7196528589893518
196,0.6408274402014142,211,41551,0.0093005215143999,31435.198851798905,plateau,0.7535843054426241
197,0.6488285815813192,211,41763,0.0106697826612853,21087.178222803715,plateau,0.6890451030635615
198,0.6678812155506043,211,41975,0.0050258630210006,51924.47826252382,plateau,0.9219159488553352
199,0.6285733349086852,211,42187,0.0093802226033541,34534.044506941565,progress,0.7693164406060389
200,0.6711019715563865,211,42399,0.0129794698204001,25884.31893831509,plateau,0.334156589232668
201,0.6638599670378178,211,42611,0.0129660685177164,24596.323378102494,progress,0.8968515644993569
202,0.6518472519493482,211,42823,0.0071441609812045,29954.738100870774,progress,0.685914484617403
203,0.6386236790225989,211,43035,0.0063603612744041,7735.431361860424,progress,0.9387106283589196
204,0.6399523238156288,211,43247,0.0043643362428965,16155.152778613445,plateau,0.9499632320784728
205,0.6290174244780481,211,43459,0.0056772672414452,27893.810330289387,progress,0.9237663309501672
206,0.6392539283761561,211,43671,0.003661011233384,27116.88466708228,plateau,0.8710200749612073
207,0.631354619374727,211,43883,0.0022576768632411,16479.889104972226,progress,0.9037710605682668
208,0.6328554490812649,211,44095,0.00377226773865,20820.824047633258,plateau,0.9769596330334668
209,0.6386343666382674,211,44307,0.0174837894634023,24858.00508938419,plateau,0.3439928990939218
210,0.6273528731986885,211,44519,0.0184627468490017,37122.91919881853,progress,0.8753479994687278
211,0.6560300688613858,211,44731,0.0057366198301406,65154.59192218047,plateau,0.9483305419947972
212,0.6333995975167438,211,44943,0.0065428485950283,15569.085777316595,progress,0.8656723670442803
213,0.6245421118207574,211,45155,0.003831244005596,11632.276469555423,progress,0.8367102590599721
214,0.6254702660803042,211,45367,0.0037963697712883,5885.327669750938,plateau,0.8684894053315106
215,0.6221035324970423,211,45579,0.0043576991240113,28907.086843556077,progress,0.9531197662402452
216,0.6199807237590623,211,45791,0.0027544603985173,32193.63721550388,progress,0.9482087381314122
217,0.6321928824132182,211,46003,0.0036402757290821,25935.16351057822,plateau,0.9442850987874684
218,0.6171403042741532,211,46215,0.0092788100844675,51678.00494012464,progress,0.7278292672655357
219,0.6268288519436247,211,46427,0.0102625384362509,14089.084157355148,plateau,0.8292076593897496
220,0.6158382516172644,211,46639,0.0040377346234364,39322.66309343594,progress,0.8464169903431564
