rank,nX_index,avg_abs_gradient,share_of_total,cumulative_share,relative_to_rank1,base_Kij
139,135,0.0656518968880204,0.00041098331222270154,0.9901244226120212,0.003070317747982173,0.07230459
140,122,0.0650477385051054,0.00040720125831280414,0.990531623870334,0.003042063298475252,0.03912708
141,33,0.0650202747761561,0.0004070293343498329,0.9909386532046839,0.00304077891251817,0.03917612
142,102,0.0645557277210851,0.00040412125253611123,0.99134277445722,0.0030190536138510176,0.1949588
143,1,0.063929768115284,0.0004002027221614513,0.9917429771793814,0.002989779594693747,-0.004853496
144,74,0.0631231765411343,0.00039515342895792986,0.9921381306083393,0.002952058027718938,0.04203423
145,106,0.0614493392739343,0.00038467514551443694,0.9925228057538538,0.0028737783052383546,0.1941871
146,76,0.061369507701989,0.0003841753969098538,0.9929069811507636,0.002870044851921521,0.02766836
147,21,0.0593856013203452,0.00037175606929684614,0.9932787372200604,0.0027772642429425365,0.0255378
148,136,0.0591577415642892,0.00037032965876333357,0.9936490668788238,0.0027666080108116825,0.07391844
149,95,0.0574593766261553,0.0003596978311890638,0.9940087647100129,0.002687181211902927,0.02847655
150,47,0.0566513682727475,0.0003546396688947806,0.9943634043789077,0.0026493933869415663,-0.03130228
151,64,0.0513652859469684,0.00032154859725924055,0.9946849529761669,0.002402181148583592,-0.003878442
152,153,0.0511194404570248,0.00032000959536376795,0.9950049625715306,0.002390683784351715,0.1218644
153,87,0.0489110905722112,0.00030618524308716335,0.9953111478146177,0.0022874067098650093,0.03528716
154,29,0.0487150829104088,0.0003049582278463703,0.9956161060424641,0.0022782400927328513,0.03187391
155,117,0.0480189466759488,0.0003006003891705952,0.9959167064316347,0.002245684149386361,0.1254117
156,79,0.0395826365480508,0.0002477887745234927,0.9961644952061581,0.0018511463836711195,-0.0158269
157,133,0.0381145973042911,0.00023859879434816948,0.9964030940005063,0.0017824911405097876,0.06700157
158,22,0.0376393662050069,0.00023562383002096672,0.9966387178305273,0.0017602661851362346,0.05025843
159,55,0.0337633701869052,0.00021135995102903904,0.9968500777815563,0.001578998926616894,0.03923997
160,44,0.0322878981728662,0.00020212344143578315,0.9970522012229921,0.0015099960778632343,0.05222566
161,61,0.0321428462692893,0.00020121541113350683,0.9972534166341256,0.0015032124896496237,0.04486416
162,162,0.0315429809581166,0.00019746023201212115,0.9974508768661378,0.0014751588126258838,0.00387996
163,92,0.0315426286098074,0.00019745802629862264,0.9976483348924364,0.001475142334484071,0.2143713
164,119,0.030755924944918,0.00019253323214552358,0.997840868124582,0.0014383508579356866,0.2121343
165,130,0.0294644198694996,0.0001844483624188617,0.9980253164870008,0.0013779515223090303,0.1374059
166,103,0.0283789296591628,0.0001776531533970956,0.9982029696403979,0.0013271868069536983,0.1683569
167,9,0.0257009862318784,0.00016088912810826678,0.9983638587685062,0.0012019484266079232,-0.01144301
168,172,0.0250286645512326,0.0001566803694236207,0.9985205391379298,0.0011705062096075388,0.007959565
169,14,0.0237363098957685,0.0001485901812943272,0.9986691293192241,0.0011100671419881102,-0.008392934
170,141,0.0233164493765301,0.00014596183885416187,0.9988150911580783,0.001090431681856723,0.008544066
171,42,0.0233038349694257,0.000145882872197306,0.9989609740302756,0.0010898417485897683,0.01090423
172,138,0.0212474878126957,0.00013301006264247896,0.999093984092918,0.0009936733289310083,0.07672832
173,134,0.0204973680999907,0.0001283142853884436,0.9992222983783065,0.0009585927604143399,0.06915091
174,88,0.0183248080939059,0.00011471397908158605,0.999337012357388,0.0008569894578225515,0.04168913
175,180,0.0173119240378019,0.0001083732872812377,0.9994453856446692,0.0008096202873717927,0.007069434
176,77,0.0165208792161323,0.00010342131732550422,0.9995488069619948,0.0007726257895652145,0.06692085
177,142,0.0138425506410471,8.665488099714159e-05,0.9996354618429919,0.00064736939715605,-0.01439166
178,207,0.0130921882403136,8.195758450703662e-05,0.9997174194274989,0.00061227747893897,0.0152165
179,163,0.0130114279594754,8.145202215030026e-05,0.9997988714496492,0.0006085005930401134,0.009406001
180,10,0.0094727162282246,5.929955531767533e-05,0.9998581710049669,0.0004430069828252561,-0.01291979
181,205,0.0089547678629344,5.605717931915117e-05,0.999914228184286,0.00041878428502261224,0.04523968
182,84,0.0071412944311293,4.470476830043578e-05,0.9999589329525864,0.00033397425017072773,-0.01713772
183,80,0.0065601923049185,4.106704741360262e-05,1.0,0.00030679806401211034,-0.01865578
184,0,0.0,0.0,1.0,0.0,0.005695253
185,3,0.0,0.0,1.0,0.0,2.022261e-05
186,7,0.0,0.0,1.0,0.0,0.01208578
187,18,0.0,0.0,1.0,0.0,-0.0001430538
188,26,0.0,0.0,1.0,0.0,-0.003803274
189,37,0.0,0.0,1.0,0.0,-0.003044488
190,40,0.0,0.0,1.0,0.0,-0.001475538
191,57,0.0,0.0,1.0,0.0,0.0001934094
192,63,0.0,0.0,1.0,0.0,-0.002844306
193,68,0.0,0.0,1.0,0.0,-0.001393123
194,120,0.0,0.0,1.0,0.0,2.963086e-05
195,125,0.0,0.0,1.0,0.0,-0.0004492036
196,148,0.0,0.0,1.0,0.0,-0.0003988656
197,155,0.0,0.0,1.0,0.0,-7.747864e-05
198,156,0.0,0.0,1.0,0.0,-0.0002799719
199,159,0.0,0.0,1.0,0.0,0.0003367835
200,165,0.0,0.0,1.0,0.0,-6.013491e-05
201,166,0.0,0.0,1.0,0.0,-0.0009804875
202,168,0.0,0.0,1.0,0.0,0.0001431316
203,171,0.0,0.0,1.0,0.0,0.001876223
204,174,0.0,0.0,1.0,0.0,-0.0005176416
205,176,0.0,0.0,1.0,0.0,-0.0002554039
206,179,0.0,0.0,1.0,0.0,0.0001823816
207,183,0.0,0.0,1.0,0.0,-0.001686643
208,187,0.0,0.0,1.0,0.0,0.0007773017
209,197,0.0,0.0,1.0,0.0,0.008025732
210,198,0.0,0.0,1.0,0.0,0.01560907
