collection,path,method,n_params,seed,loss,iterations,evaluations,time_seconds,stop_reason
gpu_seeds,gpu_seeds/80P/GPU-PSO/seed42/result.json,GPU-PSO,80,42,1.6514269471407523,73,2453,13980.296878576279,stagnation
gpu_seeds,gpu_seeds/80P/GPU-PSO/seed43/result.json,GPU-PSO,80,43,3.847121752434177,194,5457,30798.863003253937,stagnation
gpu_seeds,gpu_seeds/80P/GPU-PSO/seed44/result.json,GPU-PSO,80,44,0.9944023327730499,89,2883,16285.308578014374,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-CMAES/seed42/result.json,GPU-CMAES,8,42,0.8950630112090692,23,960,4079.5138025283813,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-CMAES/seed43/result.json,GPU-CMAES,8,43,0.8041599097440548,16,680,2811.4074449539185,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-CMAES/seed44/result.json,GPU-CMAES,8,44,0.9352266493863849,11,480,2024.8788006305695,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-DE/seed42/result.json,GPU-DE,8,42,1.2524917969241103,70,2840,7431.823109149933,stagnation
gpu_seeds,gpu_seeds/8P/GPU-DE/seed43/result.json,GPU-DE,8,43,0.9749226936440335,78,3160,14501.860395908356,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-DE/seed44/result.json,GPU-DE,8,44,0.7799702956940473,74,3000,13583.191353321075,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-PSO/seed42/result.json,GPU-PSO,8,42,0.803177347836216,96,2440,11405.086947202682,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-PSO/seed43/result.json,GPU-PSO,8,43,0.9681389884708647,45,1410,6317.4593460559845,loss_threshold
gpu_seeds,gpu_seeds/8P/GPU-PSO/seed44/result.json,GPU-PSO,8,44,0.9580445524079942,70,2130,9319.882887125015,loss_threshold
