seed,method,n_params,budget,best_loss,fill_kind,is_approx,confidence,run_total_evals,run_final_loss,stop_reason,approx_run
2,GPU-PSO,160,5000,4.012060693715533,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,7500,3.0949436180968997,observed,False,1.0,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,10000,3.0931544963255186,approx_hold_final,True,0.6,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,160,15000,3.0849458944717525,approx_hold_final,True,0.6,8922,3.0949436180968997,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,100,30.947702809126277,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,250,16.289745934205307,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,500,15.00019761386714,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,750,13.252404464857053,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,1000,13.252404464857053,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,1500,3.9059530815597325,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,2000,3.038263567358153,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,3000,1.02475792903976,observed,False,1.0,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,5000,0.8547626985936503,approx_hold_final,True,0.6,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,7500,0.8530577637481198,approx_hold_final,True,0.6,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,10000,0.8513755303120896,approx_hold_final,True,0.6,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-PSO,210,15000,0.8480779626054871,approx_hold_final,True,0.6,4710,0.8549619543974656,Stop B (long stagnation): rel_imp flat 50 iters (≥50),False
2,GPU-CMAES,2,100,7.31407535471486,observed,False,1.0,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,250,7.07433134882231,observed,False,1.0,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
2,GPU-CMAES,2,500,7.074061333637759,approx_hold_final,True,0.7,340,7.07433134882231,Stop A (normal convergence): rel_imp flat 10 iters (≥10) AND contraction_ratio=0.0063 < 0.1,False
